tab	sites
site	location	age	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	lon	magic_method_codes	method_codes	result_quality	result_type	samples	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
mc113	McMurdo	6.73	0.085	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.0	A	264.4	75.4	504.1	6.0		6.0	0.0	r	5.9901	0.0	Extrusive:Igneous	Lava Flow					-78.226	Basalt	162.735	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc113b1 : mc113c1 : mc113h1 : mc113j1 : mc113m1:mc113a1											
mc113	McMurdo	6.73	0.085	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															1.182e-05	4.5399999999999996e-07	3.842	2.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc113m:mc113j	pmagpy-2.60	mc113m1:mc113j1											
mc113	McMurdo	6.73	0.085	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.0		264.4	75.4	504.1	6.0	6.0				5.9901	0.0							-78.226		162.735	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc113b1 : mc113c1 : mc113h1 : mc113j1 : mc113m1:mc113a1							2.4	5.8	-61.3	89.3	6.0
mc113	McMurdo	6.73	0.085	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															1.182e-05	4.5399999999999996e-07	3.842	2.0	-78.226		162.735	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc113m:mc113j	pmagpy-2.60	mc113m1:mc113j1	1.553e+22	2.0	5.964e+20	1.667e+22	2.0	6.405e+20					
mc113						This study																																									
mc114	McMurdo	1.62	0.14	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.1	A	52.4	-69.7	614.0	5.0		5.0	0.0	n	4.9935	0.0	Extrusive:Igneous	Lava Flow					-78.22399999999999	Basalt	162.783	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc114b2 : mc114c1 : mc114d2 : mc114i1:mc114a1											
mc114	McMurdo	1.62	0.14	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.1		52.4	-69.7	614.0	5.0	5.0				4.9935	0.0							-78.22399999999999		162.783	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc114b2 : mc114c1 : mc114d2 : mc114i1:mc114a1							1.8	6.0	59.4	230.7	5.0
mc114						This study																																									
mc115	McMurdo	2.46	0.155	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.5	A	77.7	68.1	359.2	6.0		6.0	0.0	r	5.9861	0.0	Extrusive:Igneous	Lava Flow					-78.243	Basalt	162.958	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc115a2 : mc115b1 : mc115e1 : mc115g2 : mc115h1:mc115a1											
mc115	McMurdo	2.46	0.155	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															2.461e-05	4.299e-07	1.7469999999999999	2.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc115b:mc115a	pmagpy-2.60	mc115b1:mc115a2											
mc115	McMurdo	2.46	0.155	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.5		77.7	68.1	359.2	6.0	6.0				5.9861	0.0							-78.243		162.958	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc115a2 : mc115b1 : mc115e1 : mc115g2 : mc115h1:mc115a1							1.9	6.8	-47.4	227.7	6.0
mc115	McMurdo	2.46	0.155	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															2.461e-05	4.299e-07	1.7469999999999999	2.0	-78.243		162.958	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc115b:mc115a	pmagpy-2.60	mc115b1:mc115a2	3.233e+22	2.0	5.647e+20	3.788e+22	2.0	6.618e+20					
mc115						This study																																									
mc116	McMurdo	1.14	0.055	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	6.5	A	274.6	-81.2	139.7	5.0		5.0	0.0	n	4.9714	0.0	Extrusive:Igneous	Lava Flow					-78.222	Basalt	162.744	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc116b1 : mc116c1 : mc116i2 : mc116j2:mc116a1											
mc116	McMurdo	1.14	0.055	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															3.977e-05	1.761e-06	4.427	2.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc116j:mc116b	pmagpy-2.60	mc116j2:mc116b1											
mc116	McMurdo	1.14	0.055	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	6.5		274.6	-81.2	139.7	5.0	5.0				4.9714	0.0							-78.222		162.744	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc116b1 : mc116c1 : mc116i2 : mc116j2:mc116a1							8.7	12.6	70.0	42.5	5.0
mc116	McMurdo	1.14	0.055	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															3.977e-05	1.761e-06	4.427	2.0	-78.222		162.744	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc116j:mc116b	pmagpy-2.60	mc116j2:mc116b1	5.224e+22	2.0	2.313e+21	5.32e+22	2.0	2.355e+21					
mc116						This study																																									
mc117	McMurdo	2.28	0.12	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.2	A	164.5	70.0	3152.4	6.0		6.0	0.0	r	5.9984	0.0	Extrusive:Igneous	Lava Flow					-78.235	Basalt	162.97299999999998	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc117a2 : mc117b1 : mc117d2 : mc117e2 : mc117h1:mc117a1											
mc117	McMurdo	2.28	0.12	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															2.641e-05	7.253e-07	2.747	4.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc117b : mc117d : mc117e:mc117a	pmagpy-2.60	mc117b1 : mc117d2 : mc117e2:mc117a1											
mc117	McMurdo	2.28	0.12	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	1.2		164.5	70.0	3152.4	6.0	6.0				5.9984	0.0							-78.235		162.97299999999998	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc117a2 : mc117b1 : mc117d2 : mc117e2 : mc117h1:mc117a1							0.7	2.3	-65.1	321.0	6.0
mc117	McMurdo	2.28	0.12	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															2.641e-05	7.253e-07	2.747	4.0	-78.235		162.97299999999998	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc117b : mc117d : mc117e:mc117a	pmagpy-2.60	mc117b1 : mc117d2 : mc117e2:mc117a1	3.469e+22	4.0	9.528e+20	3.969e+22	4.0	1.09e+21					
mc117						This study																																									
mc118	McMurdo	0.31	0.02	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	6.1	A	58.9	-53.1	99.0	7.0		7.0	0.0	n	6.9394	0.0	Extrusive:Igneous	Lava Flow					-78.241	Basalt	163.141	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc118c1 : mc118d1 : mc118e1 : mc118f1 : mc118i1 : mc118l2:mc118a1											
mc118	McMurdo	0.31	0.02	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	6.1		58.9	-53.1	99.0	7.0	7.0				6.9394	0.0							-78.241		163.141	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc118c1 : mc118d1 : mc118e1 : mc118f1 : mc118i1 : mc118l2:mc118a1							2.1	11.8	39.1	229.8	7.0
mc118						This study																																									
mc119	McMurdo	1.08	0.11	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	124.8	49.0	864.8	6.0		6.0	0.0	r	5.9942	0.0	Extrusive:Igneous	Lava Flow					-78.23899999999999	Basalt	162.957	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc119b1 : mc119b2 : mc119d2 : mc119e2 : mc119f2:mc119a1											
mc119	McMurdo	1.08	0.11	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															4.097e-05	1.9469999999999997e-06	4.753	5.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc119b : mc119d : mc119e : mc119f:mc119a	pmagpy-2.60	mc119b1 : mc119d2 : mc119e2 : mc119f2:mc119a1											
mc119	McMurdo	1.08	0.11	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.3		124.8	49.0	864.8	6.0	6.0				5.9942	0.0							-78.23899999999999		162.957	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc119b1 : mc119b2 : mc119d2 : mc119e2 : mc119f2:mc119a1							0.7	4.5	-36.1	281.2	6.0
mc119	McMurdo	1.08	0.11	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															4.097e-05	1.9469999999999997e-06	4.753	5.0	-78.23899999999999		162.957	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc119b : mc119d : mc119e : mc119f:mc119a	pmagpy-2.60	mc119b1 : mc119d2 : mc119e2 : mc119f2:mc119a1	5.382e+22	5.0	2.558e+21	8.018e+22	5.0	3.811e+21					
mc119						This study																																									
mc12	McMurdo					This study															Extrusive:Igneous	Lava Flow					-77.58	Basalt	166.23																		
mc12						This study																																									
mc120	McMurdo	1.756	0.025	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	73.6	-70.6	509.6	9.0		9.0	0.0	n	8.9843	0.0	Extrusive:Igneous	Lava Flow					-78.241	Basalt	163.092	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc120a2 : mc120b1 : mc120b2 : mc120c1 : mc120f1 : mc120j2 : mc120l1 : mc120m2:mc120a1											
mc120	McMurdo	1.756	0.025	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															2.432e-05	7.248999999999999e-07	2.9810000000000003	5.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc120b : mc120c : mc120f:mc120a	pmagpy-2.60	mc120b1 : mc120b2 : mc120c1 : mc120f1:mc120a1											
mc120	McMurdo	1.756	0.025	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.3		73.6	-70.6	509.6	9.0	9.0				8.9843	0.0							-78.241		163.092	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc120a2 : mc120b1 : mc120b2 : mc120c1 : mc120f1 : mc120j2 : mc120l1 : mc120m2:mc120a1							1.4	4.5	56.5	253.9	9.0
mc120	McMurdo	1.756	0.025	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															2.432e-05	7.248999999999999e-07	2.9810000000000003	5.0	-78.241		163.092	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc120b : mc120c : mc120f:mc120a	pmagpy-2.60	mc120b1 : mc120b2 : mc120c1 : mc120f1:mc120a1	3.195e+22	5.0	9.523e+20	3.627e+22	5.0	1.081e+21					
mc120						This study																																									
mc121	McMurdo	2.505	0.03	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	117.4	78.4	389.2	11.0		11.0	0.0	r	10.9743	0.0	Extrusive:Igneous	Lava Flow					-78.235	Basalt	162.954	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc121c1 : mc121c3 : mc121d1 : mc121d2 : mc121e2 : mc121f2 : mc121g1 : mc121i1 : mc121k1 : mc121k2:mc121a1											
mc121	McMurdo	2.505	0.03	Ma	Lisa Tauxe	This study	IE-SPEC																2.466e-05	7.0860000000000004e-06	28.73	7.0				DA-AC-AARM:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	DA-AC-AARM: IE-TT : LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc121d : mc121e : mc121f : mc121g : mc121k: mc121k :mc121c	pmagpy-2.60	mc121d1 : mc121e1 : mc121f2 : mc121g1 : mc121k1 : mc121k2:mc121c1											
mc121	McMurdo	2.505	0.03	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.3		117.4	78.4	389.2	11.0	11.0				10.9743	0.0							-78.235		162.954	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc121c1 : mc121c3 : mc121d1 : mc121d2 : mc121e2 : mc121f2 : mc121g1 : mc121i1 : mc121k1 : mc121k2:mc121a1							2.3	4.5	-70.3	250.0	11.0
mc121						This study																																									
mc122	McMurdo	12.699000000000002	0.045	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.8	A	12.2	-72.4	177.8	5.0		5.0	0.0	n	4.9775	0.0	Extrusive:Igneous	Lava Flow					-78.187	Basalt	163.58	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc122b1 : mc122c1 : mc122d1 : mc122k2:mc122a1											
mc122	McMurdo	12.699000000000002	0.045	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.8		12.2	-72.4	177.8	5.0	5.0				4.9775	0.0							-78.187		163.58	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc122b1 : mc122c1 : mc122d1 : mc122k2:mc122a1							3.9	11.2	69.0	182.0	5.0
mc122						This study																																									
mc123	McMurdo	1.93	0.025	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.1	A	76.1	-82.1	317.2	8.0		8.0	0.0	n	7.9779	0.0	Extrusive:Igneous	Lava Flow					-78.25399999999999	Basalt	163.72899999999998	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc123a2 : mc123b1 : mc123b2 : mc123c2 : mc123c3 : mc123f1 : mc123j1:mc123a1											
mc123	McMurdo	1.93	0.025	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															3.004e-05	2.256e-06	7.511	4.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc123b : mc123c:mc123a	pmagpy-2.60	mc123b1 : mc123b2 : mc123c3:mc123a2											
mc123	McMurdo	1.93	0.025	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.1		76.1	-82.1	317.2	8.0	8.0				7.9779	0.0							-78.25399999999999		163.72899999999998	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc123a2 : mc123b1 : mc123b2 : mc123c2 : mc123c3 : mc123f1 : mc123j1:mc123a1							4.6	6.0	73.0	280.9	8.0
mc123	McMurdo	1.93	0.025	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															3.004e-05	2.256e-06	7.511	4.0	-78.25399999999999		163.72899999999998	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc123b : mc123c:mc123a	pmagpy-2.60	mc123b1 : mc123b2 : mc123c3:mc123a2	3.946e+22	4.0	2.964e+21	3.993e+22	4.0	2.999e+21					
mc123						This study																																									
mc124	McMurdo	12.61	0.055	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.4	A	13.2	-73.4	654.8	7.0		7.0	0.0	n	6.9908	0.0	Extrusive:Igneous	Lava Flow					-78.186	Basalt	163.567	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc124d1 : mc124d2 : mc124f1 : mc124g1 : mc124j1 : mc124l1:mc124a1											
mc124	McMurdo	12.61	0.055	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.4		13.2	-73.4	654.8	7.0	7.0				6.9908	0.0							-78.186		163.567	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc124d1 : mc124d2 : mc124f1 : mc124g1 : mc124j1 : mc124l1:mc124a1							1.7	4.6	70.5	184.1	7.0
mc124						This study																																									
mc125	McMurdo	4.26	0.09	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.4	A	345.0	-67.7	92.4	9.0		9.0	0.0	n	8.9134	0.0	Intrusive:Igneous	Volcanic Dike					-78.25399999999999	Basalt	163.73	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc125b1 : mc125c1 : mc125d1 : mc125e1 : mc125e3 : mc125g1 : mc125i1 : mc125m1:mc125a1											
mc125	McMurdo	4.26	0.09	Ma	Lisa Tauxe	This study	IE-SPEC																2.592e-05	0.0	0.0	1.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc125i	pmagpy-2.60	mc125i1											
mc125	McMurdo	4.26	0.09	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.4		345.0	-67.7	92.4	9.0	9.0				8.9134	0.0							-78.25399999999999		163.73	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc125b1 : mc125c1 : mc125d1 : mc125e1 : mc125e3 : mc125g1 : mc125i1 : mc125m1:mc125a1							2.9	10.5	61.8	143.4	9.0
mc125						This study																																									
mc126	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.5	A	359.4	-79.6	103.2	8.0		8.0	0.0	n	7.9321	0.0	Extrusive:Igneous	Lava Flow					-78.253	Basalt	163.737	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc126c1 : mc126c2 : mc126d1 : mc126e1 : mc126f1 : mc126g1 : mc126i1:mc126a2											
mc126	McMurdo	4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.5		359.4	-79.6	103.2	8.0	8.0				7.9321	0.0							-78.253		163.737	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc126c1 : mc126c2 : mc126d1 : mc126e1 : mc126f1 : mc126g1 : mc126i1:mc126a2							6.2	10.7	81.6	162.3	8.0
mc126						This study																																									
mc127	McMurdo	1.942	0.034	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.1	A	326.2	-67.2	666.9	8.0		8.0	0.0	n	7.9895	0.0	Extrusive:Igneous	Lava Flow					-78.25399999999999	Basalt	163.733	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc127a2 : mc127b1 : mc127c1 : mc127d1 : mc127f1 : mc127g2 : mc127i1:mc127a1											
mc127	McMurdo	1.942	0.034	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															3.849e-05	1.5219999999999998e-06	3.9539999999999997	2.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc127c:mc127a	pmagpy-2.60	mc127c1:mc127a2											
mc127	McMurdo	1.942	0.034	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.1		326.2	-67.2	666.9	8.0	8.0				7.9895	0.0							-78.25399999999999		163.733	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc127a2 : mc127b1 : mc127c1 : mc127d1 : mc127f1 : mc127g2 : mc127i1:mc127a1							1.1	4.1	59.1	119.5	8.0
mc127	McMurdo	1.942	0.034	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															3.849e-05	1.5219999999999998e-06	3.9539999999999997	2.0	-78.25399999999999		163.733	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc127c:mc127a	pmagpy-2.60	mc127c1:mc127a2	5.056e+22	2.0	1.999e+21	5.993e+22	2.0	2.37e+21					
mc127						This study																																									
mc128	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.8	A	36.9	-80.1	395.8	8.0		8.0	0.0	n	7.9823	0.0	Extrusive:Igneous	Lava Flow					-78.21	Basalt	166.571	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc128b2 : mc128c2 : mc128d1 : mc128e2 : mc128f1 : mc128h1 : mc128j1:mc128b1											
mc128	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															3.429e-05	2.688e-06	7.8389999999999995	3.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc128c : mc128j:mc128b	pmagpy-2.60	mc128c2 : mc128j1:mc128b2											
mc128	McMurdo	4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.8		36.9	-80.1	395.8	8.0	8.0				7.9823	0.0							-78.21		166.571	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc128b2 : mc128c2 : mc128d1 : mc128e2 : mc128f1 : mc128h1 : mc128j1:mc128b1							3.3	5.4	78.0	238.4	8.0
mc128	McMurdo	4.0	4.0	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															3.429e-05	2.688e-06	7.8389999999999995	3.0	-78.21		166.571	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc128c : mc128j:mc128b	pmagpy-2.60	mc128c2 : mc128j1:mc128b2	4.505e+22	3.0	3.532e+21	4.626e+22	3.0	3.627e+21					
mc128						This study																																									
mc129	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	22.1	-54.5	490.9	9.0		9.0	0.0	n	8.9837	0.0	Intrusive:Igneous	Volcanic Dike					-78.214	Basalt	166.577	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc129a2 : mc129b1 : mc129c1 : mc129c2 : mc129f1 : mc129h2 : mc129j1 : mc129l1:mc129a1											
mc129	McMurdo	4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.3		22.1	-54.5	490.9	9.0	9.0				8.9837	0.0							-78.214		166.577	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc129a2 : mc129b1 : mc129c1 : mc129c2 : mc129f1 : mc129h2 : mc129j1 : mc129l1:mc129a1							0.8	4.5	45.8	192.8	9.0
mc129						This study																																									
mc13	McMurdo					This study		12-m-thick Kenyte flow, tip of Cape Evans - near Mt Erubus.													Extrusive:Igneous	Lava Flow					-77.64	Trachyte	166.41																		
mc13	McMurdo	0.055	0.005	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.5	A	110.5	-70.6	259.5	8.0		7.0	1.0	n	7.975	0.0										DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc13b : mc13c : mc13d : mc13e : mc13f : mc13g : mc13h:mc13a											
mc13	McMurdo	0.055	0.005	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															3.041e-05	2.177e-06	7.1579999999999995	3.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM			mc13b : mc13c:mc13a	pmagpy-2.60	mc13b : mc13c:mc13a											
mc13	McMurdo	0.055	0.005	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.5		110.5	-70.6	259.5	8.0	8.0				7.975	0.0							-77.64		166.41	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc13b : mc13c : mc13d : mc13e : mc13f : mc13g : mc13h:mc13a							2.3	6.8	49.1	291.0	8.0
mc13	McMurdo	0.055	0.005	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															3.041e-05	2.177e-06	7.1579999999999995	3.0	-77.64		166.41	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM		i	mc13b : mc13c:mc13a	pmagpy-2.60	mc13b : mc13c:mc13a	4.001e+22	3.0	2.864e+21	4.536e+22	3.0	3.247e+21					
mc13						This study																																									
mc130	McMurdo	7.251	0.035	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.3	A	150.5	46.1	405.9	6.0		6.0	0.0	r	5.9877	0.0	Extrusive:Igneous	Lava Flow					-78.21	Basalt	166.579	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc130a2 : mc130b1 : mc130d1 : mc130e1 : mc130g2:mc130a1											
